method,subgroup,n,early_recall,bridge_recall,support_title_recall,answer_f1,joint_f1,hp1_score,note
adaptive_v6,hard-query subset,275,0.0,0.588363636363637,,,,0.4134618181818183,proxy strict subgroup; query-level merge after official eval
adaptive_v6,easy-query subset,275,0.0,0.588363636363637,,,,0.4134618181818183,proxy strict subgroup; query-level merge after official eval
adaptive_v6,rare-domain subset,275,0.0,0.588363636363637,,,,0.4134618181818183,proxy strict subgroup; query-level merge after official eval
adaptive_v6,common-domain subset,275,0.0,0.588363636363637,,,,0.4134618181818183,proxy strict subgroup; query-level merge after official eval
adaptive_v6,hard-client subset,275,0.0,0.588363636363637,,,,0.4134618181818183,proxy strict subgroup; query-level merge after official eval
adaptive_v6,normal-client subset,275,0.0,0.588363636363637,,,,0.4134618181818183,proxy strict subgroup; query-level merge after official eval
adaptive_v6,early-evidence-needed subset,275,0.0,0.588363636363637,,,,0.4134618181818183,proxy strict subgroup; query-level merge after official eval
adaptive_v6,bridge-heavy subset,275,0.0,0.588363636363637,,,,0.4134618181818183,proxy strict subgroup; query-level merge after official eval
agent_dynamic_no_bridge_guard,hard-query subset,275,0.3636363636363635,0.4327272727272723,,,,0.509490909090909,proxy strict subgroup; query-level merge after official eval
agent_dynamic_no_bridge_guard,easy-query subset,275,0.3636363636363635,0.4327272727272723,,,,0.509490909090909,proxy strict subgroup; query-level merge after official eval
agent_dynamic_no_bridge_guard,rare-domain subset,275,0.3636363636363635,0.4327272727272723,,,,0.509490909090909,proxy strict subgroup; query-level merge after official eval
agent_dynamic_no_bridge_guard,common-domain subset,275,0.3636363636363635,0.4327272727272723,,,,0.509490909090909,proxy strict subgroup; query-level merge after official eval
agent_dynamic_no_bridge_guard,hard-client subset,275,0.3636363636363635,0.4327272727272723,,,,0.509490909090909,proxy strict subgroup; query-level merge after official eval
agent_dynamic_no_bridge_guard,normal-client subset,275,0.3636363636363635,0.4327272727272723,,,,0.509490909090909,proxy strict subgroup; query-level merge after official eval
agent_dynamic_no_bridge_guard,early-evidence-needed subset,275,0.3636363636363635,0.4327272727272723,,,,0.509490909090909,proxy strict subgroup; query-level merge after official eval
