canonical_query_id,source,dataset,uses,artifact_path,artifact_hash,reason
5a70ed9f5542994082a3e3e7,r5_p0_ledger,hotpotqa,train,V7-HP-PAPER/v16_action_composition/data/hotpotqa/train.jsonl,548787626c96f9924de07d12b0efc0382589cd5dd849866ccd0c86d1eaed7dcb,entered model/router/ranker/selector development artifact
5a70eed05542994082a3e3ee,explicit_logistic_train_5000,hotpotqa,train,V7-HP-PAPER/v20_arc_fedsearch/stage_r3_probe_route/hotpot_transfer/protocol/probe_train.jsonl,9ecb580dcf99afbc62c5f4d7b8453965037f928d3512c45427d3746e1c2de58c,frozen Hotpot Logistic ProbeRoute training split
5a70eed05542994082a3e3ee,r5_p0_ledger,hotpotqa,train,V7-HP-PAPER/v17_fedaction_rag/data/hotpotqa/train.jsonl,9ecb580dcf99afbc62c5f4d7b8453965037f928d3512c45427d3746e1c2de58c,entered model/router/ranker/selector development artifact
5a70eed05542994082a3e3ee,r5_p0_ledger,hotpotqa,usage-unresolved,V7-HP-PAPER/v17_fedaction_rag/partitions/client_query_distribution.csv,e2d7c9c0146f21f9b56193ae31171e5d582ca12020a30a1c7cd497f041619170,artifact purpose cannot be proven; conservative contamination
5a70eed05542994082a3e3ee,r5_p0_ledger,hotpotqa,train,V7-HP-PAPER/v20_arc_fedsearch/stage_r3_probe_route/hotpot_transfer/protocol/probe_train.jsonl,9ecb580dcf99afbc62c5f4d7b8453965037f928d3512c45427d3746e1c2de58c,entered model/router/ranker/selector development artifact
5a70efb65542994082a3e3f8,r5_p0_ledger,hotpotqa,train,V7-HP-PAPER/v15_robust_context_repair/data/hotpotqa/train.jsonl,4b7be1a093ec058eb8dd3b07215850f8a4b18fb4df37902158d7a2f832d32a25,entered model/router/ranker/selector development artifact
5a70f0c05542994082a3e404,explicit_logistic_train_5000,hotpotqa,train,V7-HP-PAPER/v20_arc_fedsearch/stage_r3_probe_route/hotpot_transfer/protocol/probe_train.jsonl,9ecb580dcf99afbc62c5f4d7b8453965037f928d3512c45427d3746e1c2de58c,frozen Hotpot Logistic ProbeRoute training split
5a70f0c05542994082a3e404,r5_p0_ledger,hotpotqa,train,V7-HP-PAPER/v17_fedaction_rag/data/hotpotqa/train.jsonl,9ecb580dcf99afbc62c5f4d7b8453965037f928d3512c45427d3746e1c2de58c,entered model/router/ranker/selector development artifact
5a70f0c05542994082a3e404,r5_p0_ledger,hotpotqa,usage-unresolved,V7-HP-PAPER/v17_fedaction_rag/partitions/client_query_distribution.csv,e2d7c9c0146f21f9b56193ae31171e5d582ca12020a30a1c7cd497f041619170,artifact purpose cannot be proven; conservative contamination
5a70f0c05542994082a3e404,r5_p0_ledger,hotpotqa,train,V7-HP-PAPER/v20_arc_fedsearch/stage_r3_probe_route/hotpot_transfer/protocol/probe_train.jsonl,9ecb580dcf99afbc62c5f4d7b8453965037f928d3512c45427d3746e1c2de58c,entered model/router/ranker/selector development artifact
5a70f10a5542994082a3e409,explicit_logistic_train_5000,hotpotqa,train,V7-HP-PAPER/v20_arc_fedsearch/stage_r3_probe_route/hotpot_transfer/protocol/probe_train.jsonl,9ecb580dcf99afbc62c5f4d7b8453965037f928d3512c45427d3746e1c2de58c,frozen Hotpot Logistic ProbeRoute training split
5a70f10a5542994082a3e409,r5_p0_ledger,hotpotqa,train,V7-HP-PAPER/v17_fedaction_rag/data/hotpotqa/train.jsonl,9ecb580dcf99afbc62c5f4d7b8453965037f928d3512c45427d3746e1c2de58c,entered model/router/ranker/selector development artifact
